ID,Group,Classification,Major,Height,Ethnicity,Cell Phone,Laptop,Commute,Coffee_week,Coffee_weekend,Sleep,Color,Person,Music_follis,coffee_follis,sleep_follis,Friday_class,,,,,
6023,2,Sophomore,Accounting,67 in.,White,iPhone,MacBook,3 min.,3-Feb,1,670 hrs.,Red,Morning,Rock,5,5,No Class,,,,,
8378,2,Junior,Marketing,61 inches,Mexican,iPhone,MacBook,55 minutes,0,0,700,Red,Morning,Alternative,4,5,No class,,,,,
2521,2,Senior,Biology,67 in,African American,Android,Windows,35 min,0,0,640,purple,both,Rock,3,6,either,,,,,
1963,2,Senior,Marketing,71 in.,White,Iphone,MacBook,3 minutes,3-Feb,0,690hrs,Yellow,Morning,Rock,5,5,No class,,,,,
6476,4,Junior,Env Science,65,African American,iPhone,Windows,18 min,0,0,700,Black,both,Rock,4,6,No Class,,,,,
7111,3,junior,business mgmt,63,Hispanic,Android,HP - windows,50 min.,3-Feb,0-1,3-4 hrs a night,green,both,rock/soul,5,5-Mar,no class,,,,,
7065,3,sophomore,marketing,66 inches,african american,IPhone,windows/ apple,20 minutes,1,1,600 hours,black,both,everything,3,5,no class,,,,,
8148,4,sophomore,undecided,74 inches,caucasian,Android,Windows,3 minutes,0,0,750,blue,morning,Metal,5,6,no class,,,,,
8788,1,junior,finance,5.2,Asian,,Lenovo,30 minutes,2,0,8h/night,neutral,night,jazz,3,6,no class,,,,,
4719,1,junior,General Business,66 inches,Mexican,iPhone,MacBook,30 minutes,0,0,600 hours,white,both,Rock,2,6,no class,,,,,
9853,3,sophmore,Undecided,71 inches,Hispanic,IPhone,MacBook,3 minutes,4-Mar,2-Jan,6oo hours,grey,both,Rock,6,5-Apr,no class,,,,,
9980,5,sophmore,Finance,66 inches,White Mexican,Iphone,Macbook,3 minutes,14-21,6-Mar,700,Pink,Both,Rock,5,8,No class,,,,,
6647,1,junior,marketing,63 inches,Asian,iPhone,Hp-windows,35-45 mins,0,0,700,black,morning,rock/country,6,5,no class,,,,,
1937,,Sophomore,Finance,5'2,African,iPhone,Apple,25 minutes,0,0,700,green,morning,rock/country,4-Feb,6-May,no class,,,,,
6269,6,Senior,Accounting,75 inches,White,iPhone,MacBook,40 minues,2,0,600,Blue,neither,Hip-Hop,6,5,NO,,,,,
4064,4,junior,marketing,67,mexican,iphone,windows,30 mins,0,0,700,black,night,metal,3,6,no,,,,,
1250,5,Sophmore,Undecided,69in,Nigerian,Iphone,windows,0,3,0,800,Yellow,Both,Indie,3,6,,,,,,
7707,6,junior,Business,69 in,white,iphone,apple,15 mins,0,0,700,Blue,night,Old Hip Hop,4,6,NO,,,,,
4486,6,Junior,Business,69 inches,hispcanic,iphone,apple,45 min,4,0,600,black,night,classic,6,6,NO,,,,,
2370,1,sophomore,biology,61 in,asian,iPhone,Apple,60 mins,0,0,8hrs/night,white,night,classic rock,5,2,,,,,,
2634,3,Junior,accounting,5ft 2in,hispcanic,iphone,apple,30 min,5,2,600,blue,both,jazz,1,9,NO,,,,,
5599,6,Junio,International Development,65 inches,hispcanic,android,windows,10 min,2,0,7,black,night,rock,6,7,NO,,,,,
